Running for 470.0 seconds (47 samples at 10.0 second intervals).
Power measurements will start in 2 seconds time.

Waiting 2 seconds before starting (gathering samples). Waiting 1 seconds before starting (gathering samples).                                                                                  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
06:55:32  68.1   0.0  30.7   0.0   1.2   15 140302  51221  36.91 
06:55:42  68.4   0.0  30.6   0.0   0.9   15 135064  48918  37.39 
06:55:52  68.7   0.0  30.2   0.0   1.1   15 132090  47186  37.47 
06:56:02  68.6   0.0  30.3   0.0   1.1   15 132539  47521  38.76 
06:56:12  68.6   0.0  30.4   0.0   1.0   14 140281  52070  38.70 
06:56:22  68.4   0.0  30.7   0.0   0.9   16 139018  51655  39.08 
06:56:32  69.2   0.0  29.5   0.0   1.3   15 132789  47714  38.29 
06:56:42  66.0   0.0  32.7   0.0   1.3   14 133330  48184  37.75 
06:56:52  65.6   0.0  33.3   0.0   1.1   15 134066  50637  37.31 
06:57:02  66.9   0.0  31.8   0.0   1.3   14 131440  47600  37.55 
06:57:12  66.9   0.0  32.1   0.0   1.0   15 132502  48090  37.68 
06:57:22  68.2   0.0  30.7   0.0   1.1   15 133471  47862  37.85 
06:57:32  68.6   0.0  30.2   0.0   1.2   15 135760  48756  37.93 
06:57:42  68.4   0.0  30.4   0.0   1.2   15 137447  49003  37.99 
06:57:52  68.6   0.0  30.2   0.0   1.2   15 135456  47879  37.99 
06:58:02  69.1   0.0  29.6   0.0   1.3   15 136478  49065  38.02 
06:58:12  69.5   0.0  29.1   0.0   1.4   14 138480  49277  37.98 
06:58:22  68.4   0.0  30.3   0.0   1.2   15 136108  48743  38.01 
06:58:32  68.1   0.0  30.9   0.0   1.0   15 137231  49673  38.16 
06:58:42  67.9   0.0  31.0   0.0   1.1   15 134887  48724  38.08 
06:58:52  66.1   0.0  32.8   0.0   1.1   15 130118  47174  37.88 
06:59:02  66.2   0.0  32.8   0.0   1.0   15 132709  49028  37.87 
06:59:12  67.8   0.0  31.0   0.0   1.1   15 129873  46737  37.86 
06:59:22  67.4   0.0  31.5   0.0   1.0   13 133768  48631  37.83 
06:59:32  65.0   0.0  35.0   0.0   0.1   15 145853  58163  37.86 
06:59:42  65.6   0.0  34.4   0.0   0.0   16 156916  63521  38.10 
06:59:52  65.8   0.0  34.0   0.0   0.3   15 154283  62805  37.94 
07:00:02  67.4   0.0  31.4   0.0   1.2   15 133603  48658  37.91 
07:00:12  67.5   0.0  31.3   0.0   1.2   15 132797  47931  37.88 
07:00:22  67.3   0.0  31.7   0.0   1.0   15 133599  49070  37.93 
07:00:32  67.5   0.0  31.6   0.0   0.9   15 131621  47948  37.94 
07:00:42  67.6   0.0  31.2   0.0   1.2   14 133293  48540  38.03 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
07:00:52  68.5   0.0  30.5   0.0   1.0   15 137725  49630  38.34 
07:01:02  67.5   0.0  31.4   0.0   1.1   16 138514  50447  38.42 
07:01:12  67.6   0.0  31.6   0.0   0.9   15 141404  52206  38.48 
07:01:22  68.7   0.0  30.1   0.0   1.2   15 137024  49589  38.54 
07:01:32  68.1   0.0  30.8   0.0   1.1   14 133326  48297  38.40 
07:01:42  67.7   0.0  31.1   0.0   1.1   15 132392  48051  38.35 
07:01:52  67.6   0.0  31.6   0.0   0.8   15 130038  47202  38.23 
07:02:02  67.1   0.0  31.7   0.0   1.2   15 133423  48796  38.26 
07:02:12  66.7   0.0  32.2   0.0   1.1   15 134693  49308  38.21 
07:02:22  66.4   0.0  32.7   0.0   0.9   14 136152  50978  38.18 
07:02:32  66.0   0.0  33.2   0.0   0.8   15 148694  59132  38.08 
07:02:42  66.5   0.0  32.4   0.0   1.1   14 129806  47504  38.13 
07:02:52  67.4   0.0  31.4   0.0   1.2   15 132125  47451  38.09 
07:03:02  66.7   0.0  32.3   0.0   1.0   15 137431  51139  37.74 
07:03:12  68.2   0.0  31.0   0.0   0.8   15 125014  45795  37.42 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Average  67.5   0.0  31.4   0.0   1.0 14.9 135849.6 49861.8  38.02 
 GeoMean  67.5   0.0  31.4   0.0   0.0 14.8 135730.6 49738.6  38.02 
  StdDev   1.1   0.0   1.2   0.0   0.3  0.5 5818.5 3700.3   0.38 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Minimum  65.0   0.0  29.1   0.0   0.0 13.0 125014.0 45795.4  36.91 
 Maximum  69.5   0.0  35.0   0.0   1.4 16.0 156915.7 63520.8  39.08 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
Summary:
System:  38.02 Watts on average with standard deviation 0.38  
