Running for 470.0 seconds (47 samples at 10.0 second intervals).
Power measurements will start in 2 seconds time.

Waiting 2 seconds before starting (gathering samples). Waiting 1 seconds before starting (gathering samples).                                                                                  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
21:44:43   0.3   0.0   0.2  99.5   0.0    1    200    101   2.83 
21:44:53   0.3   0.0   0.1  99.5   0.0    1    176     90   2.74 
21:45:03   0.3   0.0   0.1  99.7   0.0    1    193     92   2.74 
21:45:13   0.4   0.0   0.2  99.4   0.0    1    215    107   2.75 
21:45:23   0.3   0.0   0.1  99.6   0.0    1    183     96   2.80 
21:45:33   0.4   0.0   0.1  99.5   0.0    1    297    106   2.79 
21:45:43   0.3   0.0   0.1  99.6   0.0    1    180     87   2.57 
21:45:53   0.3   0.0   0.1  99.6   0.0    1    184     92   2.55 
21:46:03   0.3   0.0   0.1  99.6   0.0    1    182     91   2.53 
21:46:13   0.3   0.0   0.1  99.6   0.0    1    175     91   2.53 
21:46:23   0.3   0.0   0.1  99.6   0.0    1    170     89   2.52 
21:46:33   0.3   0.0   0.1  99.6   0.0    1    171     89   2.52 
21:46:43   0.3   0.0   0.1  99.6   0.0    1    171     88   2.52 
21:46:53   0.3   0.0   0.1  99.6   0.0    1    181    104   2.56 
21:47:03   0.3   0.0   0.1  99.5   0.0    1    200     97   2.54 
21:47:13   0.3   0.0   0.1  99.6   0.0    1    182     92   2.52 
21:47:23   0.3   0.0   0.2  99.6   0.0    1    174     89   2.52 
21:47:33   0.3   0.0   0.2  99.5   0.0    1    266    100   2.54 
21:47:43   0.3   0.0   0.1  99.6   0.0    1    174     89   2.52 
21:47:53   0.3   0.0   0.1  99.6   0.0    1    191     93   2.52 
21:48:03   0.3   0.0   0.2  99.5   0.0    1    206    101   2.53 
21:48:13   0.3   0.0   0.1  99.6   0.0    1    193     96   2.53 
21:48:23   0.3   0.0   0.2  99.6   0.0    1    188     95   2.53 
21:48:33   0.3   0.0   0.1  99.6   0.0    1    190     92   2.52 
21:48:43   0.3   0.0   0.2  99.5   0.0    1    210    104   2.54 
21:48:53   0.3   0.0   0.1  99.6   0.0    1    194     96   2.54 
21:49:03   0.3   0.0   0.1  99.6   0.0    1    205    101   2.53 
21:49:13   0.3   0.0   0.2  99.5   0.0    1    194     94   2.53 
21:49:23   0.3   0.0   0.1  99.6   0.0    1    174     88   2.53 
21:49:33   0.5   0.0   0.2  99.3   0.0    1    380    158   2.56 
21:49:43   0.3   0.0   0.2  99.5   0.0    1    212    107   2.72 
21:49:53   0.3   0.0   0.1  99.6   0.0    1    188     96   2.74 
21:50:03   0.6   0.0   0.2  99.3   0.0    1    206    106   2.94 
21:50:13   0.3   0.0   0.1  99.5   0.1    1    208    107   2.78 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
21:50:23   0.4   0.0   0.0  99.6   0.0    1    176     90   2.75 
21:50:33   0.3   0.0   0.1  99.7   0.0    1    174     96   2.73 
21:50:43   0.3   0.0   0.2  99.5   0.0    1    212    100   2.58 
21:50:53   0.3   0.0   0.1  99.6   0.0    1    179     92   2.54 
21:51:03   0.3   0.0   0.2  99.6   0.0    1    191     96   2.53 
21:51:13   0.3   0.0   0.1  99.6   0.0    1    180     94   2.53 
21:51:23   0.3   0.0   0.2  99.5   0.0    1    229    108   2.69 
21:51:33   0.4   0.0   0.1  99.4   0.1    1    278    116   2.85 
21:51:43   0.3   0.0   0.1  99.6   0.0    1    174     91   2.77 
21:51:53   0.3   0.0   0.1  99.6   0.0    1    183     93   2.74 
21:52:03   0.3   0.0   0.1  99.6   0.0    1    200     96   2.73 
21:52:13   0.3   0.0   0.1  99.6   0.0    1    177     89   2.72 
21:52:23   0.3   0.0   0.2  99.6   0.0    1    228     96   2.72 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Average   0.3   0.0   0.1  99.6   0.0  1.0  199.8   97.5   2.63 
 GeoMean   0.3   0.0   0.1  99.6   0.0  1.0  197.1   96.9   2.63 
  StdDev   0.1   0.0   0.0   0.1   0.0  0.0   37.7   11.1   0.12 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
 Minimum   0.3   0.0   0.0  99.3   0.0  1.0  169.6   86.8   2.52 
 Maximum   0.6   0.0   0.2  99.7   0.1  1.0  379.7  158.2   2.94 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ------ 
Summary:
System:   2.63 Watts on average with standard deviation 0.12  
